ciclo_id,num_fills,spacing_promedio,drawdown_max,pnl_original,pnl_simulado,cierre_simulado,sl_pnl,tocaria_sl,price_range,duracion_sec,detalle
15.0,2.0,0.0,0.0,0.1972440400000063,0.1972440400000063,TP,-0.4932179999999971,False,0.0,289.0,"TP, PNL original: 0.1972"
16.0,10.0,1.592857142857221,-0.68208000000022,1.5835406699999208,1.5835406699999208,TP,-3.958778399999952,False,9.789999999999964,2418.0,"TP, PNL original: 1.5835"
17.0,2.0,0.0,0.0,0.1984440199999893,0.1984440199999893,TP,-0.49606559999999444,False,0.0,1141.0,"TP, PNL original: 0.1984"
18.0,2.0,0.0,0.0,0.1979641100000075,0.1979641100000075,TP,-0.49474920000000566,False,0.0,571.0,"TP, PNL original: 0.1980"
19.0,3.0,4.0,-0.096,0.3954484300000331,0.3954484300000331,TP,-0.9886152000000148,False,4.0,156.0,"TP, PNL original: 0.3954"
20.0,2.0,0.0,0.0,0.1979642099999932,0.1979642099999932,TP,-0.495123599999999,False,0.0,56.0,"TP, PNL original: 0.1980"
21.0,2.0,0.0,0.0,0.1972442700000063,0.1972442700000063,TP,-0.4934580000000024,False,0.0,782.0,"TP, PNL original: 0.1972"
22.0,2.0,0.0,0.0,0.1972443399999921,0.1972443399999921,TP,-0.4934268000000047,False,0.0,459.0,"TP, PNL original: 0.1972"
23.0,4.0,6.110000000000127,-0.5394000000000169,0.7643227300000424,0.7643227300000424,TP,-1.912177649999981,False,12.220000000000256,5246.0,"TP, PNL original: 0.7643"
24.0,2.0,0.0,0.0,0.2544645499999962,0.2544645499999962,TP,-0.6360703999999978,False,0.0,2357.0,"TP, PNL original: 0.2545"
25.0,4.0,3.689999999999827,-0.3239499999999802,0.7621537400000072,0.7621537400000072,TP,-1.9057250000000112,False,7.379999999999654,537.0,"TP, PNL original: 0.7622"
26.0,3.0,6.2800000000002,-0.1946799999999921,0.507069369999999,0.507069369999999,TP,-1.2681294000000016,False,6.2800000000002,1639.0,"TP, PNL original: 0.5071"
27.0,2.0,0.0,0.0,0.2557042200000203,0.2557042200000203,TP,-0.6392649499999888,False,0.0,2088.0,"TP, PNL original: 0.2557"
28.0,2.0,0.0,0.0,0.2557041599999919,0.2557041599999919,TP,-0.6394618000000064,False,0.0,1288.0,"TP, PNL original: 0.2557"
29.0,9.0,6.350000000000104,-2.975380000000043,2.0369551900000222,2.0369551900000222,TP,-5.092376199999969,False,34.47999999999956,7123.0,"TP, PNL original: 2.0370"
30.0,3.0,11.329999999999927,-0.3512299999999977,0.5086188100000077,0.5086188100000077,TP,-1.271695950000012,False,11.329999999999927,574.0,"TP, PNL original: 0.5086"
31.0,7.0,5.080000000000018,-1.4830400000001032,1.5218266099999094,1.5218266099999094,TP,-3.8029808000000056,False,20.579999999999927,1314.0,"TP, PNL original: 1.5218"
32.0,2.0,0.0,0.0,0.2544643600000104,0.2544643600000104,TP,-0.6362083499999949,False,0.0,46.0,"TP, PNL original: 0.2545"
33.0,2.0,0.0,0.0,0.2726854500000179,0.2726854500000179,TP,-0.6458431499999869,False,0.0,77.0,"TP, PNL original: 0.2727"
34.0,5.0,1.179999999999988,-0.109740000000027,0.5156798699999687,0.5156798699999687,TP,-1.2894852999999766,False,3.539999999999964,179.0,"TP, PNL original: 0.5157"
35.0,3.0,3.130000000000109,-0.0970299999999751,0.5166783899999513,0.5166783899999513,TP,-1.291765350000007,False,3.130000000000109,133.0,"TP, PNL original: 0.5167"
36.0,2.0,0.0,0.0,0.2587700099999954,0.2587700099999954,TP,-0.6473063500000144,False,0.0,114.0,"TP, PNL original: 0.2588"
37.0,24.0,4.1919047619047065,-18.595969999998964,5.406885010000256,-13.525152750000146,SL,-13.525152750000146,True,63.85999999999967,14946.0,"SL (0.50%) tocado, PNL ajustado: -13.5252"
38.0,4.0,3.119999999999891,-0.0967199999999684,0.5163686200000519,0.5163686200000519,TP,-1.2911159000000043,False,3.119999999999891,271.0,"TP, PNL original: 0.5164"
39.0,2.0,0.0,0.0,0.2594243300000216,0.2594243300000216,TP,-0.6488269000000028,False,0.0,193.0,"TP, PNL original: 0.2594"
40.0,2.0,0.0,0.0,0.253155580000021,0.253155580000021,TP,-0.6330599999999958,False,0.0,110.0,"TP, PNL original: 0.2532"
41.0,2.0,0.0,0.0,0.2531556500000067,0.2531556500000067,TP,-0.6329610000000139,False,0.0,505.0,"TP, PNL original: 0.2532"
42.0,3.0,3.1700000000000728,-0.0951000000000021,0.505411350000012,0.505411350000012,TP,-1.2640394999999989,False,3.1700000000000728,127.0,"TP, PNL original: 0.5054"
43.0,3.0,3.719999999999345,-0.1115999999999803,0.5063118199999567,0.5063118199999567,TP,-1.2653130000000237,False,3.719999999999345,2947.0,"TP, PNL original: 0.5063"
